#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
386.00,99.00,0.04,0.00
386.00,99.00,0.04,0.00
386.00,99.00,-0.00,0.00
386.00,100.00,-0.00,0.00
386.00,100.00,-0.04,0.00
386.00,100.00,-0.04,0.00
385.00,99.00,-0.04,0.00
385.00,99.00,-0.04,0.00
386.00,99.00,0.00,0.00
386.00,99.00,0.00,0.00
384.00,99.00,-0.08,0.00
384.00,99.00,-0.12,0.00
385.00,99.00,-0.04,0.00
384.00,99.00,-0.09,0.00
385.00,99.00,-0.05,0.00
385.00,99.00,-0.05,0.00
384.00,99.00,-0.08,0.00
385.00,99.00,-0.04,0.00
386.00,99.00,-0.00,0.00
386.00,99.00,-0.00,0.00
385.00,99.00,-0.04,0.00
385.00,99.00,-0.04,0.00
385.00,99.00,-0.04,0.00
387.00,99.00,0.04,0.00
387.00,99.00,0.04,0.00
386.00,99.00,0.04,0.00
385.00,99.00,-0.00,0.00
386.00,99.00,-0.01,0.00
385.00,99.00,-0.05,0.00
385.00,99.00,0.04,0.00
385.00,99.00,0.04,0.00
385.00,99.00,-0.00,0.00
385.00,99.00,0.04,0.00
384.00,99.00,-0.04,0.00
384.00,99.00,-0.04,0.00
387.00,100.00,0.13,0.00
387.00,100.00,0.08,0.00
387.00,100.00,0.04,0.00
385.00,99.00,-0.04,0.00
385.00,99.00,-0.04,0.00
385.00,100.00,-0.00,0.00
385.00,100.00,-0.00,0.00
385.00,99.00,-0.00,0.00
385.00,100.00,-0.09,0.00
385.00,99.00,-0.09,0.00
384.00,99.00,-0.09,0.00
385.00,99.00,-0.01,0.00
385.00,99.00,-0.04,0.00
385.00,99.00,-0.00,0.00
384.00,99.00,-0.04,0.00
384.00,99.00,-0.04,0.00
384.00,99.00,-0.04,0.00
384.00,99.00,-0.04,0.00
385.00,99.00,0.04,0.00
384.00,99.00,-0.00,0.00
384.00,99.00,-0.13,0.00
385.00,100.00,-0.09,0.00
384.00,99.00,-0.13,0.00
384.00,99.00,-0.04,0.00
384.00,99.00,-0.04,0.00
385.00,99.00,-0.01,0.00
385.00,99.00,-0.01,0.00
385.00,100.00,-0.01,0.00
385.00,99.00,-0.01,0.00
384.00,99.00,-0.05,0.00
385.00,99.00,0.03,0.00
385.00,100.00,-0.01,0.00
384.00,99.00,-0.05,0.00
384.00,100.00,-0.05,0.00
383.00,100.00,-0.05,0.00
383.00,100.00,-0.05,0.00
383.00,99.00,-0.05,0.00
383.00,99.00,-0.05,0.00
383.00,99.00,-0.09,0.00
384.00,99.00,-0.02,0.00
384.00,99.00,-0.02,0.00
383.00,100.00,-0.10,0.00
383.00,99.00,-0.06,0.00
384.00,99.00,-0.02,0.00
384.00,99.00,-0.02,0.00
385.00,99.00,-0.01,0.00
385.00,99.00,-0.01,0.10
384.00,99.00,-0.05,0.20
384.00,99.00,-0.05,0.30
383.00,99.00,-0.05,0.40
385.00,99.00,-0.00,0.50
384.00,99.00,-0.04,0.60
385.00,99.00,0.04,0.70
385.00,99.00,0.04,0.80
384.00,99.00,0.04,0.90
384.00,99.00,0.04,1.00
385.00,99.00,0.08,1.10
384.00,99.00,0.04,1.20
384.00,99.00,0.04,1.30
383.00,99.00,-0.04,1.40
383.00,99.00,-0.04,1.50
383.00,99.00,0.01,1.60
383.00,99.00,0.01,1.70
383.00,99.00,-0.04,1.80
383.00,99.00,-0.04,1.90
382.00,99.00,-0.12,2.00
383.00,99.00,-0.07,2.10
384.00,99.00,0.01,2.20
384.00,99.00,0.01,2.30
382.00,99.00,-0.04,2.40
384.00,99.00,-0.04,2.50
383.00,99.00,-0.04,2.60
383.00,99.00,-0.08,2.70
382.00,99.00,-0.13,2.80
384.00,99.00,-0.01,2.90
384.00,99.00,-0.01,3.00
383.00,99.00,-0.10,3.10
383.00,99.00,-0.05,3.20
383.00,99.00,-0.05,3.30
381.00,99.00,-0.10,3.40
382.00,99.00,-0.06,3.50
383.00,99.00,-0.02,3.60
384.00,99.00,0.02,3.70
385.00,100.00,0.06,3.80
384.00,100.00,0.02,3.90
386.00,99.00,0.14,4.00
388.00,100.00,0.17,4.00
393.00,100.00,0.34,4.00
393.00,100.00,0.34,4.00
394.00,100.00,0.46,4.00
398.00,101.00,0.54,4.00
402.00,101.00,0.73,4.00
404.00,100.00,0.81,4.00
406.00,100.00,0.93,4.00
414.00,100.00,1.19,4.00
417.00,100.00,1.31,4.00
421.99,100.00,1.53,4.00
432.99,100.00,1.99,4.00
434.99,101.00,2.07,4.00
440.99,101.00,2.37,4.00
442.99,101.00,2.42,4.00
453.99,101.00,2.80,4.00
456.98,100.99,2.88,4.00
459.98,100.99,2.95,4.00
466.98,100.99,3.28,4.00
481.98,101.00,3.74,4.00
487.98,101.00,3.92,4.00
494.98,101.00,4.00,4.00
494.97,99.99,4.00,4.00
509.97,99.99,4.59,4.00
516.97,99.99,4.70,4.00
522.97,99.99,4.80,4.00
535.98,100.00,5.18,4.00
541.98,100.00,5.36,4.00
547.98,100.00,5.27,4.00
556.99,99.00,5.47,4.00
566.99,99.00,5.71,4.00
572.99,99.00,5.48,4.00
576.00,99.00,5.51,4.00
591.00,99.00,5.88,4.00
595.00,99.00,5.96,4.00
597.00,99.00,5.61,4.00
606.00,99.00,5.87,4.00
616.00,98.00,6.17,4.00
624.00,98.00,6.16,4.00
626.00,98.00,5.71,4.00
630.00,99.00,5.63,4.00
650.00,99.00,6.05,4.00
650.00,99.00,6.05,4.00
